MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
02:11:.140	-0.047911	354.796180
02:11:.454	-0.041002	355.872380
02:11:.758	-0.055476	356.987562
02:12:.068	-0.084355	358.099371
02:12:.360	0.021025	359.159135
02:12:.659	0.007966	360.103043
02:13:.010	0.012619	361.142281
02:13:.611	0.006085	362.432718
02:13:.967	0.012950	364.421967
02:14:.620	0.029578	365.767984
02:15:.154	0.049005	368.687470
02:15:.543	0.052816	369.996922
02:15:.874	0.073089	371.085690
02:16:.201	0.033321	372.359728
02:16:.505	0.041541	373.392801
02:16:.813	-0.006611	374.396377
02:17:.105	0.110700	375.421622
02:17:.411	0.103090	376.432481
02:17:.750	0.072770	377.546181
02:18:.054	0.064324	378.699221
02:19:.091	0.044684	380.518159
02:19:.444	0.092472	383.286108
02:19:.736	0.032193	384.381076
02:20:.033	0.154756	385.307933
02:20:.340	0.160016	386.323531
02:20:.642	0.072038	387.432838
02:20:.934	0.016234	388.468738
02:21:.241	-0.059963	389.479437
02:21:.529	-0.029613	390.530837
02:21:.828	-0.049293	391.519062
02:22:.145	-0.072923	392.551210
02:22:.472	-0.022519	393.720627
02:22:.787	-0.134730	394.807101
02:23:.099	-0.147947	395.932775
02:23:.415	-0.017345	396.926694
02:23:.718	-0.016494	398.015331
02:24:.019	-0.059127	399.104017
02:24:.340	0.026436	400.070653
02:24:.669	0.057438	401.155010
02:24:.976	0.082123	402.243295
02:25:.261	0.105016	403.270036
02:25:.534	0.096704	404.282685
02:25:.846	0.110552	405.269831
02:26:.155	0.071219	406.413810
02:26:.463	0.028339	407.545831
02:26:.769	0.022900	408.690503
02:27:.090	0.066931	409.771988
02:27:.378	0.055446	410.900920
02:27:.703	-0.017275	411.966210
02:28:.018	-0.048439	413.087529
02:28:.310	0.042338	414.087631
02:28:.623	0.015656	415.270952
02:28:.923	0.098882	416.205909
02:29:.331	0.136798	417.689605
02:29:.641	0.089104	418.871938
02:29:.922	0.034834	419.895276
02:30:.212	0.019621	420.923217
02:30:.512	-0.043308	422.031319
02:30:.818	-0.035181	423.174049
02:31:.108	0.003245	424.212890
02:31:.399	0.059276	425.183573
02:31:.691	0.046286	426.266768
02:31:.975	0.022224	427.300091
02:32:.285	0.021094	428.371979
02:32:.575	-0.058067	429.465307
02:32:.879	-0.018939	430.570390
02:33:.175	-0.067557	431.683690
02:33:.473	-0.020653	432.693788
02:33:.783	0.000564	433.769860
02:34:.079	0.050757	434.838082
02:34:.382	0.067994	435.916517
02:34:.673	0.084942	436.938957
02:35:.023	0.055711	438.005035
02:35:.599	0.089002	440.066905
02:35:.893	0.051260	441.235595
02:36:.174	0.075926	442.260330
02:36:.490	0.041015	443.263206
02:36:.812	0.024104	444.374737
02:37:.142	0.085477	445.491805
02:37:.451	0.006287	446.725320
02:37:.769	0.052928	447.845623
02:38:.049	0.068114	448.993413
02:38:.387	0.037254	450.066941
02:38:.728	0.082951	451.339077
02:39:.075	-0.004824	452.786445
02:39:.591	-0.045236	454.536824
02:39:.922	0.009216	455.960259
02:40:.242	0.013348	457.145497
02:40:.586	0.035434	458.351136
02:40:.998	0.036581	459.872409
02:41:.334	0.068835	460.931226
02:41:.632	0.065864	462.164205
02:41:.917	-0.065872	463.275092
02:42:.223	0.004083	464.270580
02:42:.512	0.002553	465.394718
02:42:.812	0.039416	466.383502
02:43:.131	-0.018352	467.524267
02:43:.442	0.007454	468.598663
02:43:.746	0.086159	469.674734
02:44:.127	0.074067	470.852170
02:44:.414	0.082767	472.297925
02:44:.765	0.047245	473.540216
02:45:.224	0.064997	474.686686
02:45:.692	0.230099	476.849237
02:46:.077	0.347808	478.381877
02:46:.448	0.206979	479.672752
02:46:.756	0.120337	481.042712
02:47:.209	0.155229	482.366251
02:47:.649	0.198626	483.860616
02:48:.020	0.183332	485.487738
02:48:.312	0.169777	486.575078
02:48:.616	0.242902	487.544469
02:48:.918	0.070721	488.820460
02:49:.205	0.185643	489.753341
02:49:.513	0.163631	490.763273
02:49:.818	0.165694	491.889065
02:50:.139	0.229978	493.012631
02:50:.475	0.183408	494.186948
02:50:.763	0.049115	495.353527
02:51:.047	0.121979	496.292197
02:51:.346	0.013937	497.327191
02:51:.633	0.133574	498.355817
02:51:.915	0.131407	499.323396
02:52:.217	0.029931	500.433012
02:52:.513	0.064099	501.498321
02:52:.789	0.025225	502.600225
02:53:.085	0.086465	503.643042
02:53:.422	-0.102353	504.869650
02:53:.731	-0.052811	506.039835
02:54:.033	-0.035347	507.120780
02:54:.346	0.027698	508.227791
02:54:.649	0.081794	509.323434
02:54:.941	-0.028856	510.444595
02:55:.233	0.041012	511.449792
02:55:.598	0.039844	512.731341
02:55:.949	0.019136	514.016947
02:56:.253	-0.102813	515.308821
02:56:.553	0.022279	516.373097
02:56:.829	-0.112642	517.594559
02:57:.120	0.046954	518.505990
02:57:.420	0.115788	519.586723
02:57:.716	0.108185	520.639786
02:58:.193	0.093413	521.752450
02:58:.517	0.034233	523.663493
02:58:.795	-0.012706	524.665230
02:59:.156	0.199342	525.777238
02:59:.470	0.248605	526.807948
02:59:.776	0.185743	527.993641
03:00:.090	0.149968	529.245707
03:00:.379	0.201708	530.234527
03:00:.695	0.224104	531.242727
03:00:.995	0.166322	532.466102
03:01:.304	0.107004	533.566890
03:01:.604	0.165132	534.670215
